1985-03-04,0.28
1985-06-04,0.28
1985-09-04,0.28
1985-12-04,0.32
1986-03-04,0.32
1986-06-04,0.16
1986-09-02,0.16
1986-12-02,0.18
1987-03-04,0.18
1987-06-02,0.18
1987-09-01,0.18
1987-12-02,0.21
1988-03-02,0.21
1988-06-06,0.21
1988-09-02,0.21
1988-12-05,0.22
1989-03-06,0.22
1989-06-05,0.22
1989-09-01,0.22
1989-12-04,0.25
1990-03-05,0.25
1990-06-04,0.25
1990-09-04,0.25
1990-12-04,0.25
1991-03-04,0.25
1991-06-04,0.25
1991-09-04,0.25
1991-12-04,0.27
1992-03-04,0.27
1992-06-03,0.27
1992-09-01,0.27
1992-12-02,0.3
1993-03-03,0.3
1993-06-02,0.3
1993-09-03,0.3
1993-12-06,0.32
1994-03-02,0.32
1994-06-06,0.32
1994-09-02,0.32
1994-12-05,0.34
1995-03-06,0.34
1995-06-06,0.34
1995-09-06,0.34
1995-12-06,0.36
1996-03-06,0.36
1996-06-06,0.36
1996-09-05,0.36
1996-12-06,0.38
1997-03-06,0.38
1997-06-06,0.38
1997-09-05,0.38
1997-12-05,0.2
1998-03-06,0.2
1998-06-05,0.2
1998-09-03,0.2
1998-12-04,0.21
1999-03-05,0.21
1999-06-04,0.21
1999-09-08,0.21
1999-12-08,0.22
2000-03-08,0.22
2000-06-07,0.22
2000-09-06,0.22
2000-12-06,0.23
2001-03-07,0.23
2001-06-06,0.23
2001-09-06,0.23
2001-12-06,0.24
2002-03-06,0.24
2002-06-06,0.24
2002-09-06,0.24
2002-12-06,0.25
2003-03-06,0.25
2003-06-06,0.25
2003-09-05,0.25
2003-12-05,0.26
2004-03-05,0.26
2004-06-09,0.26
2004-09-08,0.26
2004-12-08,0.27
2005-03-09,0.27
2005-06-08,0.27
2005-09-07,0.27
2005-12-07,0.29
2006-03-08,0.29
2006-06-07,0.55
2006-09-06,0.55
2006-12-06,0.55
2007-03-07,0.55
2007-06-06,0.55
2007-09-06,0.55
2007-12-06,0.58
2008-03-06,0.58
2008-06-06,0.58
2008-09-05,0.58
2008-12-05,0.59
2009-03-06,0.59
2009-06-05,0.59
2009-09-03,0.59
2009-12-04,0.6
2010-03-05,0.6
2010-06-04,0.6
2010-09-08,0.6
2010-12-08,0.63
2011-03-09,0.63
2011-06-08,0.63
2011-09-07,0.63
2011-12-07,0.72
2012-03-07,0.72
2012-06-06,0.72
2012-09-06,0.72
2012-12-06,0.87
2013-03-06,0.87
2013-06-06,0.87
2013-09-06,0.87
2013-12-06,1.05
2014-03-06,0.2625
2014-06-06,0.2625
2014-09-05,0.2625
2014-12-05,0.32
2015-03-06,0.32
2015-06-05,0.32
2015-09-03,0.32
2015-12-04,0.37
2016-03-04,0.37
2016-06-08,0.37
2016-09-07,0.37
2016-12-07,0.42
2017-03-08,0.42
2017-06-07,0.42
2017-09-06,0.42
2017-09-07,0.42
2017-12-07,0.46
2018-03-08,0.46
2018-06-07,0.46
2018-09-07,0.46
2018-12-07,0.51
2019-03-07,0.51
2019-06-07,0.51
2019-09-09,0.43
